Fecha,Concepto,Importe,NIF/CIF,Saldo disponible
04/01/2026,ALQUILER OFICINA COWORKING,"-620,00",B81726457,"9.840,20"
09/01/2026,MERCADONA COMPRA MATERIAL,"-39,70",A48092159,"9.800,50"
16/01/2026,GASOLINA REPSOL RONDA LITORAL,"-55,40",30456789M,"9.745,10"
27/02/2026,IMPUESTOS AGENCIA TRIBUTARIA IVA,"-730,25",B81726457,"9.014,85"
11/03/2026,INGRESO VENTA SERVICIOS CLIENTE,"1.980,00",A48092159,"10.994,85"
23/03/2026,MERCADONA COMPRA MATERIAL,"-42,15",B81726401,"10.952,70"
05/04/2026,ALQUILER OFICINA COWORKING,"-620,00",B81726457,"10.332,70"
19/05/2026,GASOLINA CEPSA B-23,"-49,80",30456789M,"10.282,90"
02/06/2026,IMPUESTOS MODELO 111 RETENCIONES,"-215,60",B81726457,"10.067,30"
28/06/2026,SEGURIDAD SOCIAL TGSS TRIMESTRE,"-410,00",A48092159,"9.657,30"
